"","mom","embryo","Treatment","Elevation","Estimate","Std. Error","t value","Pr(>|t|)","coll_date","coll_date_numeric","Treatment_numeric","Elevation_numeric","Mom_numeric"
"56","Higher zone WINTER 3",4,"Heat Shock","Higher",0.0227324928125,0.00639048051542787,-3.55724311460137,0.174461702900266,"Winter",1,1,1,7
"57","Higher zone WINTER 3",5,"Heat Shock","Higher",0.0127817410625,0.00525258491133391,-2.43341921706394,0.2482215222325,"Winter",1,1,1,7
"58","Higher zone WINTER 3",6,"Heat Shock","Higher",0.0189411434375,0.000393523711614855,-48.1321528498844,0.0132245943700624,"Winter",1,1,1,7
"59","Higher zone WINTER 3",7,"Heat Shock","Higher",0.0173284694375,0.00151653399889977,-11.4263639655106,0.0555733974868868,"Winter",1,1,1,7
"60","Higher zone WINTER 3",8,"Heat Shock","Higher",0.0118716390783488,0.00265735110613921,-4.46747102816863,0.0466279545889611,"Winter",1,1,1,7
"61","Higher zone WINTER 3",9,"Heat Shock","Higher",0.0179903986875,0.000400592283129328,-44.9094988724282,0.0141732729929783,"Winter",1,1,1,7
"62","Higher zone WINTER 3",10,"Heat Shock","Higher",0.015311955375,0.00355800539918916,-4.30352224268392,0.145350517581798,"Winter",1,1,1,7
"63","Higher zone WINTER 3",11,"Heat Shock","Higher",0.027162017,NA,NA,NA,"Winter",1,1,1,7
"64","Higher zone WINTER 3",12,"Heat Shock","Higher",0.01106447725,NA,NA,NA,"Winter",1,1,1,7
"65","Higher zone WINTER 4",1,"Control","Higher",0.01227421412,0.000455126532913243,-26.9687949006913,0.000111876961677684,"Winter",1,0,1,8
"66","Higher zone WINTER 4",2,"Control","Higher",0.0159486068181818,0.000867696652156977,-18.3803945521004,0.000351396710924221,"Winter",1,0,1,8
"67","Higher zone WINTER 4",3,"Control","Higher",0.0139656435963636,0.00180270998585349,-7.7470273676615,0.00447311071531749,"Winter",1,0,1,8
"68","Higher zone WINTER 4",4,"Control","Higher",0.0140326893672727,0.00169979336154665,-8.25552663325164,0.00372185190016064,"Winter",1,0,1,8
"69","Higher zone WINTER 4",5,"Control","Higher",0.01578868458,0.00181670974037198,-8.69081297310995,0.00320603050059291,"Winter",1,0,1,8
"70","Higher zone WINTER 4",6,"Control","Higher",0.0141013157472727,0.00116516779097548,-12.1023906226133,0.00121418411470627,"Winter",1,0,1,8
"71","Higher zone WINTER 4",7,"Control","Higher",0.0139361357381818,0.000271986519704869,-51.2383325221554,1.63715795410633e-05,"Winter",1,0,1,8
"72","Higher zone WINTER 4",8,"Control","Higher",0.0170697929854545,0.00157735871474466,-10.8217571728557,0.00168805147005325,"Winter",1,0,1,8
"73","Higher zone WINTER 4",9,"Control","Higher",0.0162504321054545,0.00101791810271012,-15.9643806925027,0.000534458212257587,"Winter",1,0,1,8
"74","Higher zone WINTER 4",10,"Control","Higher",0.0136799676254545,0.00099095649840035,-13.8048114599757,0.000822688778254205,"Winter",1,0,1,8
"75","Higher zone WINTER 4",11,"Control","Higher",0.0139268307472727,0.00124178170423322,-11.215200465425,0.00151969774763473,"Winter",1,0,1,8
"76","Higher zone WINTER 4",12,"Control","Higher",0.0139785807098361,0.000993211548421293,-14.0741222069508,0.00501053062928067,"Winter",1,0,1,8
"77","Higher zone WINTER 4",1,"Heat Shock","Higher",0.0151361119925426,0.000603180188255619,-25.0938480527947,0.000138768742604298,"Winter",1,1,1,8
"78","Higher zone WINTER 4",2,"Heat Shock","Higher",0.0163614598604403,0.00163086201597981,-10.0323998597824,0.00210832042898879,"Winter",1,1,1,8
"79","Higher zone WINTER 4",3,"Heat Shock","Higher",0.0173190466317472,0.00236869656490049,-7.31163581202506,0.00528358086072408,"Winter",1,1,1,8
"80","Higher zone WINTER 4",4,"Heat Shock","Higher",0.041676213625,NA,NA,NA,"Winter",1,1,1,8
"81","Higher zone WINTER 4",5,"Heat Shock","Higher",0.0163972183782645,0.00137785271648158,-11.9005596041758,0.0069870672040182,"Winter",1,1,1,8
"82","Higher zone WINTER 4",6,"Heat Shock","Higher",0.0118861797386364,0.00173310736712349,-6.85830547149792,0.00634659618252048,"Winter",1,1,1,8
"83","Higher zone WINTER 4",7,"Heat Shock","Higher",0.0147369487826705,0.00116085243974914,-12.6949371669109,0.00105429463009971,"Winter",1,1,1,8
"84","Higher zone WINTER 4",8,"Heat Shock","Higher",0.0109467230134943,0.00214517150717009,-5.10295935635245,0.0145546115863586,"Winter",1,1,1,8
"85","Higher zone WINTER 4",9,"Heat Shock","Higher",0.0162407367684659,0.00103618575296058,-15.673576597693,0.000564466883014675,"Winter",1,1,1,8
"86","Higher zone WINTER 4",10,"Heat Shock","Higher",0.015651430678267,0.000916466924223881,-17.0780093253465,0.000437345077242831,"Winter",1,1,1,8
